Date,Total_External_Booking
2019-01-08,19
2019-01-15,1
2019-01-22,3
2019-01-29,14
2019-02-05,12
2019-02-12,0
2019-02-19,3
2019-02-26,6
2019-03-05,11
2019-03-12,0
2019-03-19,8
2019-03-26,9
2019-04-02,10
2019-04-09,2
2019-04-16,0
2019-04-23,10
2019-04-30,0
2019-05-07,3
2019-05-14,2
2019-05-21,5
2019-05-28,3
2019-06-04,15
2019-06-11,8
2019-06-18,12
2019-06-25,19
2019-07-02,7
2019-07-09,15.5
2019-07-16,11
2019-07-23,7
2019-07-30,20
2019-08-06,18
2019-08-13,13
2019-08-20,15
2019-08-27,20
2019-09-03,15
2019-09-10,8
2019-09-17,9
2019-09-24,10
2019-10-01,5
2019-10-08,3
2019-10-15,0
2019-10-22,2
2019-10-29,4
2019-11-05,8
2019-11-12,3
2019-11-19,5
2019-11-26,6
2019-12-03,4
2019-12-10,2
2019-12-17,3
2019-12-24,1
2019-12-31,0
2020-01-07,15
2020-01-14,12
2020-01-21,8
2020-01-28,12
2020-02-04,15
2020-02-11,7
2020-02-18,8
2020-02-25,10
2020-03-03,3
2020-03-10,0
2020-03-17,4
2020-03-24,2
2020-03-31,2
2020-04-07,0
2020-04-14,0
2020-04-21,0
2020-04-28,0
2020-05-05,0
2020-05-12,0
2020-05-19,0
2020-05-26,0
2020-06-02,0
2020-06-09,0
2020-06-16,0
2020-06-23,0
2020-06-30,0
2020-07-07,0
2020-07-14,0
2020-07-21,0
2020-07-28,0
2020-08-04,0
2020-08-11,0
2020-08-18,0
2020-08-25,0
2020-09-01,2.8
2020-09-08,0
2020-09-15,0
2020-09-22,0
2020-09-29,0
2020-10-06,0
2020-10-13,0
2020-10-20,0
2020-10-27,0
2020-11-03,12
2020-11-10,8
2020-11-17,10
2020-11-24,10
2020-12-01,0
2020-12-08,0
2020-12-15,0
2020-12-22,0
2020-12-29,0
2021-01-05,0
2021-01-12,0
2021-01-19,0
2021-01-26,0
2021-02-02,0
2021-02-09,0
2021-02-16,0
2021-02-23,0
2021-03-02,0
2021-03-09,0
2021-03-16,0
2021-03-23,0
2021-03-30,0
2021-04-06,0
2021-04-13,0
2021-04-20,0
2021-04-27,0
2021-05-04,0
2021-05-11,0
2021-05-18,0
2021-05-25,0
2021-06-01,0
2021-06-08,0
2021-06-15,0
2021-06-22,0
2021-06-29,0
2021-07-06,0
2021-07-13,0
2021-07-20,0
2021-07-27,0
2021-08-03,0
2021-08-10,0
2021-08-17,0
2021-08-24,0
2021-08-31,0
2021-09-07,0
2021-09-14,0
2021-09-21,0
2021-09-28,0
2021-10-05,0
2021-10-12,0
2021-10-19,0
2021-10-26,0
2021-11-02,0
2021-11-09,0
2021-11-16,0
2021-11-23,0
2021-11-30,0
2021-12-07,0
2021-12-14,0
2021-12-21,0
2021-12-28,0
2022-01-04,0
2022-01-11,0
2022-01-18,0
2022-01-25,0
2022-02-01,0
2022-02-08,1
2022-02-15,0
2022-02-22,0
2022-03-01,0
2022-03-08,2.3
2022-03-15,0
2022-03-22,0
2022-03-29,0
2022-04-05,1
2022-04-12,0
2022-04-19,2
2022-04-26,1
2022-05-03,0
2022-05-10,0
2022-05-17,0
2022-05-24,0
2022-05-31,0
2022-06-07,0
2022-06-14,0
2022-06-21,0
2022-06-28,0
2022-07-05,0
2022-07-12,0
2022-07-19,0
2022-07-26,0
2022-08-02,0
2022-08-09,4
2022-08-16,2
2022-08-23,2
2022-08-30,0
2022-09-06,13
2022-09-13,5
2022-09-20,3
2022-09-27,5
2022-10-04,0
2022-10-11,0
2022-10-18,0
2022-10-25,0
2022-11-01,0
2022-11-08,5
2022-11-15,3
2022-11-22,4
2022-11-29,3
2022-12-06,5
2022-12-13,1
2022-12-20,1
2022-12-27,3
2023-01-03,0
2023-01-10,8
2023-01-17,0
2023-01-24,3
2023-01-31,5
2023-02-07,3
2023-02-14,0
2023-02-21,0
2023-02-28,0
2023-03-07,6
2023-03-14,1
2023-03-21,4
2023-03-28,5
2023-04-04,3
2023-04-11,2
2023-04-18,0
2023-04-25,0
2023-05-02,5
2023-05-09,3
2023-05-16,4
2023-05-23,2
2023-05-30,7
2023-06-06,12
2023-06-13,8
2023-06-20,10
2023-06-27,11
